Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LinearDiscriminantAnalysis,0.9281767955801105,0.9425861101402898,,0.9289668569124504,0.46130824089050293
ExtraTreesClassifier,0.8784530386740331,0.8697246681766806,,0.8792082311562774,0.4905078411102295
RandomForestClassifier,0.8784530386740331,0.8617030601550725,,0.880315976578146,1.9140281677246094
LGBMClassifier,0.8674033149171271,0.8586516453389518,,0.8677235037523211,40.20805335044861
RidgeClassifierCV,0.850828729281768,0.8534441478713923,,0.8513363141911585,0.20679473876953125
BaggingClassifier,0.861878453038674,0.8502113526881329,,0.864551839901682,7.530440807342529
XGBClassifier,0.850828729281768,0.8473192740065805,,0.8500555708455152,30.35511088371277
ExtraTreeClassifier,0.7955801104972375,0.8032771975186836,,0.7957123509752518,0.06892704963684082
RidgeClassifier,0.7790055248618785,0.7727639119279988,,0.7799009157357164,0.11393070220947266
CalibratedClassifierCV,0.7790055248618785,0.7576026427419617,,0.782619906972848,61.073532581329346
LogisticRegression,0.7569060773480663,0.7313778470125218,,0.7568373818597137,0.6187839508056641
LinearSVC,0.7292817679558011,0.7312012663405852,,0.7354260613349303,15.020727396011353
DecisionTreeClassifier,0.7624309392265194,0.7267050585007241,,0.7614284098662075,1.2079792022705078
LabelSpreading,0.6629834254143646,0.6678461029854218,,0.6789357287820763,0.12496042251586914
LabelPropagation,0.6629834254143646,0.6678461029854218,,0.6789357287820763,0.12807345390319824
KNeighborsClassifier,0.6685082872928176,0.6387152338545529,,0.6601662263974323,0.5132479667663574
PassiveAggressiveClassifier,0.569060773480663,0.5368632330861434,,0.5922909907910862,1.1063878536224365
SVC,0.5911602209944752,0.5355703108953883,,0.5735157969144057,0.4585132598876953
SGDClassifier,0.6022099447513812,0.5293637058962136,,0.6025834346962143,0.6361222267150879
Perceptron,0.44751381215469616,0.41379049456448835,,0.4170373128989224,0.503016471862793
GaussianNB,0.3867403314917127,0.3560410407159633,,0.36890455945961714,0.12006878852844238
BernoulliNB,0.3701657458563536,0.3513347219229572,,0.3402191910253365,0.08924055099487305
NearestCentroid,0.3370165745856354,0.3092181319425901,,0.3525697861169628,0.08906912803649902
QuadraticDiscriminantAnalysis,0.3259668508287293,0.29686640271779596,,0.30407959349972613,0.26737451553344727
AdaBoostClassifier,0.281767955801105,0.22666666666666666,,0.17761051673875014,8.710585117340088
DummyClassifier,0.11602209944751381,0.09090909090909091,,0.0241234068158197,0.07994866371154785
